proxy_wallet,bot_score,cluster,kmeans,operator_id,operator_size,c_cadence_regularity,c_activity_247,c_size_regularity,c_breadth,c_burstiness,c_reaction,n_trades,active_hours,cv_gap,breadth_markets,max_trades_per_sec,reaction_alignment,realized_pnl_usdc,volume_usdc,roi_on_resolved,fill_win_rate
0xc0d896336db3b2e08876a5dcd63b25a811e15430,0.7425000000000002,0,0,op_001,146.0,0.0,1.0,0.916,1.0,1.0,0.5509999999999999,1500,24,3.3781678908443857,165,10,0.7755,41.36,894.57,0.0462,0.882
0x900939fada83b830ae89e39c031e11e44bd91621,0.739037807435653,-1,0,op_001,146.0,0.0,1.0,0.8846520495710201,1.0,1.0,0.5633999999999999,2098,24,2.892225235101624,188,18,0.7817,127.83,1165.89,0.1096,0.8937
0xc90b20dd4ccd4d1f6c0a2182b8b1cf9526707190,0.7369770189099,0,0,op_001,146.0,0.0,1.0,0.9021134593993326,1.0,1.0,0.5166,1798,24,2.9232055300033464,172,14,0.7583,82.76,1024.66,0.0808,0.8927
0x04dcf8d1328b2bf5fa6e7aa8a200df95751cd572,0.732583666404406,-1,0,op_001,146.0,0.0,1.0,0.8636244426960399,1.0,1.0,0.5304,3813,24,8.256161467296225,209,20,0.7652,234.07,1951.89,0.1207,0.9032
0x20d81d3225d25c1618497548b486c192ac80463e,0.7295859041622945,0,0,op_001,146.0,0.0,0.9166666666666666,0.9223504721930745,1.0,1.0,0.579,953,22,2.41688336568755,146,10,0.7895,46.26,590.07,0.0784,0.8814
0x19af989568d17f3862ff77e6d5a15b055a076e63,0.7275083464566929,0,0,op_001,146.0,0.0,0.9166666666666666,0.9326334208223972,1.0,1.0,0.5428,1143,22,2.5286844845606025,154,10,0.7714,43.89,681.0,0.0644,0.8845
0xcb32934773126ed9267babaee1e68f0c375779aa,0.726526167146974,-1,0,op_001,146.0,0.0,1.0,0.8559077809798271,1.0,1.0,0.48140000000000005,2776,24,7.226193969604781,206,20,0.7407,165.63,1451.57,0.1147,0.9001
0xe43ff9e39282c95e76a53ec38243b78e1e9fa889,0.7195833076263924,0,0,op_001,146.0,0.0,0.9166666666666666,0.9005998286203942,1.0,1.0,0.5116,1167,22,3.1531683550451834,155,10,0.7558,47.34,698.23,0.0678,0.8809
0xd009eeeeac8c81dc2d5e254e0e25a1a14e5791af,0.7192720708237106,-1,0,op_001,146.0,0.0,0.9583333333333334,0.8868360277136259,1.0,1.0,0.4458,1299,23,3.1903576637510755,162,18,0.7229,37.61,774.58,0.0486,0.8799
0x23d18416645924e097c453e8ceadd4bfeb6a353f,0.7150588793103448,-1,0,op_001,146.0,0.0,1.0,0.8545258620689655,1.0,1.0,0.3688,5568,24,9.671818015485718,224,20,0.6844,267.51,2760.8,0.0973,0.9039
